Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-12-01,2,13.4,22.9,0.6,13,44.0,13,14,20.0,24.0,71.0,22.0,1007.7,1007.1,16.9,21.8,0,0
2008-12-02,2,7.4,25.1,0.0,14,44.0,6,15,4.0,22.0,44.0,25.0,1010.6,1007.8,17.2,24.3,0,0
2008-12-03,2,12.9,25.7,0.0,15,46.0,13,15,19.0,26.0,38.0,30.0,1007.6,1008.7,21.0,23.2,0,0
2008-12-04,2,9.2,28.0,0.0,4,24.0,9,0,11.0,9.0,45.0,16.0,1017.6,1012.8,18.1,26.5,0,0
2008-12-05,2,17.5,32.3,1.0,13,41.0,1,7,7.0,20.0,82.0,33.0,1010.8,1006.0,17.8,29.7,0,0
2008-12-06,2,14.6,29.7,0.2,14,56.0,13,13,19.0,24.0,55.0,23.0,1009.2,1005.4,20.6,28.9,0,0
2008-12-07,2,14.3,25.0,0.0,13,50.0,12,13,20.0,24.0,49.0,19.0,1009.6,1008.2,18.1,24.6,0,0
2008-12-08,2,7.7,26.7,0.0,13,35.0,10,13,6.0,17.0,48.0,19.0,1013.4,1010.1,16.3,25.5,0,0
2008-12-09,2,9.7,31.9,0.0,6,80.0,9,7,7.0,28.0,42.0,9.0,1008.9,1003.6,18.3,30.2,0,1
2008-12-10,2,13.1,30.1,1.4,13,28.0,8,10,15.0,11.0,58.0,27.0,1007.0,1005.7,20.1,28.2,1,0
2008-12-11,2,13.4,30.4,0.0,3,30.0,10,2,17.0,6.0,48.0,22.0,1011.8,1008.7,20.4,28.8,0,1
2008-12-12,2,15.9,21.7,2.2,5,31.0,4,1,15.0,13.0,89.0,91.0,1010.5,1004.2,15.9,17.0,1,1
2008-12-13,2,15.9,18.6,15.6,13,61.0,6,6,28.0,28.0,76.0,93.0,994.3,993.0,17.4,15.8,1,1
2008-12-14,2,12.6,21.0,3.6,12,44.0,13,11,24.0,20.0,65.0,43.0,1001.2,1001.8,15.8,19.8,1,0
2008-12-16,2,9.8,27.7,0.0,14,50.0,3,14,13.0,22.0,50.0,28.0,1013.4,1010.3,17.3,26.2,0,0
2008-12-17,2,14.1,20.9,0.0,1,22.0,11,0,11.0,9.0,69.0,82.0,1012.2,1010.4,17.2,18.1,0,1
2008-12-18,2,13.5,22.9,16.8,13,63.0,3,14,6.0,20.0,80.0,65.0,1005.8,1002.2,18.0,21.5,1,1
2008-12-19,2,11.2,22.5,10.6,10,43.0,15,12,24.0,17.0,47.0,32.0,1009.4,1009.7,15.5,21.0,1,0
2008-12-20,2,9.8,25.6,0.0,10,26.0,9,6,17.0,6.0,45.0,26.0,1019.2,1017.1,15.8,23.2,0,0
2008-12-21,2,11.5,29.3,0.0,8,24.0,9,9,9.0,9.0,56.0,28.0,1019.3,1014.8,19.1,27.3,0,0
2008-12-22,2,17.1,33.0,0.0,4,43.0,4,3,17.0,22.0,38.0,28.0,1013.6,1008.1,24.5,31.6,0,0
2008-12-23,2,20.5,31.8,0.0,14,41.0,13,13,19.0,20.0,54.0,24.0,1007.8,1005.7,23.8,30.8,0,0
2008-12-24,2,15.3,30.9,0.0,3,33.0,2,7,6.0,13.0,55.0,23.0,1011.0,1008.2,20.9,29.0,0,0
2008-12-25,2,12.6,32.4,0.0,13,43.0,0,13,4.0,19.0,49.0,17.0,1012.9,1010.1,21.5,31.2,0,0
2008-12-26,2,16.2,33.9,0.0,15,35.0,9,15,9.0,13.0,45.0,19.0,1010.9,1007.6,23.2,33.0,0,0
2008-12-27,2,16.9,33.0,0.0,15,57.0,3,13,0.0,26.0,41.0,28.0,1006.8,1003.6,26.6,31.2,0,0
